City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Salalah,OM,17.02,54.09,75.2,100,90,3.36,heavy intensity drizzle
202,Kazanskaya,RU,45.41,40.44,62.65,92,2,6.13,clear sky
203,Hirara,JP,24.8,125.28,84.2,83,75,8.05,broken clouds
204,Lobau,DE,51.1,14.67,61.0,97,100,3.0,light rain
205,Prince Rupert,CA,54.32,-130.32,60.8,67,40,8.05,scattered clouds
206,Mackay,AU,-21.15,149.2,71.01,73,75,16.11,broken clouds
207,Igunga,TZ,-4.28,33.88,65.35,54,4,3.33,clear sky
208,Tiksi,RU,71.69,128.87,44.65,77,39,12.39,scattered clouds
209,Pisco,PE,-13.7,-76.22,63.0,82,40,14.99,scattered clouds
210,Tabora,TZ,-5.02,32.8,62.58,46,24,3.6,few clouds
211,Suhbaatar,MN,50.23,106.21,56.3,78,100,2.44,overcast clouds
212,Carnarvon,AU,-24.87,113.63,60.8,100,75,9.17,broken clouds
213,Port-Gentil,GA,-0.72,8.78,77.0,88,90,14.2,overcast clouds
214,Kasongo-Lunda,CD,-6.47,16.82,75.29,75,81,2.57,light rain
215,Faya,SA,18.39,42.45,69.8,88,6,6.93,clear sky
216,Hervey Bay,AU,-25.3,152.85,69.8,49,2,14.99,clear sky
217,Aksarka,RU,66.56,67.8,52.14,87,100,14.32,overcast clouds
218,Sitka,US,57.05,-135.33,55.4,76,90,6.93,light rain
219,Pitimbu,BR,-7.47,-34.81,75.2,94,63,5.82,broken clouds
220,Mamallapuram,IN,12.63,80.17,82.4,88,40,5.82,mist
221,Tagusao,PH,9.19,117.81,82.56,75,64,3.38,broken clouds
222,Saskylakh,RU,71.92,114.08,59.99,47,0,4.03,clear sky
223,Shubarkuduk,KZ,49.14,56.49,73.2,27,94,8.97,overcast clouds
224,Nador,MA,35.17,-2.93,82.4,51,0,11.41,clear sky
225,Yarmouth,US,41.71,-70.23,75.0,78,20,8.05,few clouds
226,Saint-Francois,FR,46.42,3.91,59.0,77,83,3.36,broken clouds
227,Darnah,LY,32.77,22.64,76.44,81,0,11.23,clear sky
228,Upernavik,GL,72.79,-56.15,39.78,73,0,15.35,clear sky
229,Salinopolis,BR,-0.61,-47.36,79.54,84,79,11.63,broken clouds
230,Porto Nacional,BR,-10.71,-48.42,87.8,35,66,5.82,broken clouds
231,Murray Bridge,AU,-35.12,139.27,64.99,47,0,15.57,clear sky
232,Chegutu,ZW,-18.13,30.14,64.06,60,0,6.51,clear sky
233,Wajir,KE,1.75,40.06,72.55,76,27,14.27,scattered clouds
234,Tuatapere,NZ,-46.13,167.68,45.0,72,59,11.01,broken clouds
235,Chokurdakh,RU,70.63,147.92,42.17,77,98,9.35,overcast clouds
236,Bathsheba,BB,13.22,-59.52,82.4,74,20,19.46,few clouds
237,Airai,TL,-8.93,125.41,67.32,58,26,5.86,scattered clouds
238,Cap Malheureux,MU,-19.98,57.61,68.0,80,2,3.0,clear sky
239,Bandarbeyla,SO,9.49,50.81,75.9,76,32,26.75,scattered clouds
240,Srednekolymsk,RU,67.45,153.68,44.02,87,100,1.01,overcast clouds
241,Mudanya,TR,40.38,28.88,77.0,82,0,6.24,clear sky
