City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Honiara,SB,86.0,broken clouds,-9.43,159.95,Heritage Park Hotel
424,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
429,Mocuba,MZ,71.74,clear sky,-16.84,36.99,Phama Lodge
433,Nuevitas,CU,82.4,clear sky,21.55,-77.26,Hotel Caonaba
437,Laem Sing,TH,77.0,broken clouds,12.48,102.07,Laemsing Whitehouse Resort
438,Chetumal,MX,86.0,scattered clouds,18.5,-88.3,Hotel & Suites Arges
439,Alyangula,AU,78.8,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
440,Coatzintla,MX,89.6,overcast clouds,20.48,-97.45,Poza Rica Inn Hotel
442,Tianpeng,CN,79.0,broken clouds,30.99,103.94,Shuangliu Love Home Business Hotel
443,Conway,US,88.0,clear sky,35.09,-92.44,"Country Inn & Suites by Radisson, Conway, AR"
444,Arrecife,ES,73.4,scattered clouds,28.96,-13.55,Hotel Lancelot
446,Carthage,TN,86.0,clear sky,36.86,10.33,Dar Fatma
448,Galle,LK,80.58,light rain,6.04,80.22,CocoBay Unawatuna
449,Grand-Santi,GF,74.19,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
452,Phalaborwa,ZA,78.8,clear sky,-23.94,31.14,Bothabelo B&B
454,Huamuxtitlan,MX,77.94,moderate rain,17.82,-98.57,Hotel Huamuxtitlan
456,Shingu,JP,84.2,few clouds,33.73,135.98,Shingu UI Hotel
460,Ipixuna,BR,77.0,scattered clouds,-1.76,-48.8,Casa da Oscarina
462,Tezu,IN,76.39,light rain,27.92,96.17,Circuit House
464,Keti Bandar,PK,82.38,overcast clouds,24.14,67.45,Haji laloo memon house
466,Alexandroupoli,GR,72.0,clear sky,40.85,25.87,Apartment Hotel Athina
472,Chabahar,IR,81.79,clear sky,25.29,60.64,هتل گدروشیا
477,Lamu,KE,75.58,few clouds,-2.27,40.9,Lamu House
478,Syracuse,IT,77.0,clear sky,37.09,15.28,Hotel Posta
481,Kalmunai,LK,78.26,broken clouds,7.42,81.82,VS Villa
482,Laurinburg,US,84.99,clear sky,34.77,-79.46,Holiday Inn Express & Suites Laurinburg
483,Sokoto,NG,75.58,overcast clouds,13.06,5.24,RG Palace
484,Pocone,BR,84.76,clear sky,-16.26,-56.62,Hotel e Churrascaria Pantaneira
486,Pathein,MM,78.66,scattered clouds,16.78,94.73,Pathein Hotel
488,Charlottesville,US,86.0,clear sky,38.03,-78.48,Holiday Inn Charlottesville-Monticello
489,Mana,GF,78.89,overcast clouds,5.66,-53.78,LE SAMANA
490,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
491,Ahuimanu,US,87.8,broken clouds,21.44,-157.84,Paradise Bay Resort
492,Santa Marta,CO,82.0,scattered clouds,11.24,-74.2,Hotel La Ballena Azul
494,Itarema,BR,78.46,scattered clouds,-2.92,-39.92,Windvillage
495,Liku,ID,80.33,few clouds,-0.73,119.89,Agoes Liverpool
496,Road Town,VG,82.99,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
500,Pangkalanbuun,ID,76.39,scattered clouds,-2.68,111.62,Grand Kecubung Hotel
