City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Santa Lucia,ES,2020-08-28 20:39:27,27.91,-15.54,79.0,69,0,27.51
271,Empalme,MX,2020-08-28 20:39:27,27.97,-110.82,96.01,75,40,17.22
272,Geraldton,AU,2020-08-28 20:39:27,-28.77,114.6,57.2,67,75,11.41
273,Urbino,IT,2020-08-28 20:39:27,43.73,12.64,86.0,39,0,8.99
274,Harrismith,ZA,2020-08-28 20:39:27,-28.27,29.13,53.15,41,0,9.04
275,Vila,PT,2020-08-28 20:39:27,42.03,-8.16,64.0,77,20,4.7
276,Oranjemund,NA,2020-08-28 20:39:28,-28.55,16.43,55.29,83,1,9.22
277,Kokopo,PG,2020-08-28 20:39:28,-4.35,152.26,75.83,86,44,5.59
278,Nalhati,IN,2020-08-28 20:39:28,24.3,87.82,79.14,90,80,6.13
279,Bhaderwah,IN,2020-08-28 20:39:28,32.98,75.72,61.56,71,0,1.41
280,Haines Junction,CA,2020-08-28 20:39:28,60.75,-137.51,47.84,83,100,3.91
281,Ellensburg,US,2020-08-28 20:39:09,47.0,-120.55,82.4,20,1,3.36
282,Cuamba,MZ,2020-08-28 20:39:28,-14.8,36.54,72.97,34,3,3.4
283,Rognan,NO,2020-08-28 20:39:29,67.1,15.39,48.0,90,86,1.19
284,Brigantine,US,2020-08-28 20:39:29,39.41,-74.36,89.6,52,75,10.29
285,Wewak,PG,2020-08-28 20:39:29,-3.55,143.63,78.58,84,100,10.87
286,Invermere,CA,2020-08-28 20:39:29,50.52,-116.04,73.99,35,0,3.0
287,Nzega,RW,2020-08-28 20:39:29,-2.48,29.56,65.19,50,95,0.85
288,Rocha,UY,2020-08-28 20:37:56,-34.48,-54.33,60.58,90,91,7.07
289,Korsakov,RU,2020-08-28 20:39:29,46.63,142.78,57.2,93,75,15.66
290,Wahiawa,US,2020-08-28 20:39:30,21.5,-158.02,86.0,61,40,10.29
291,North Bend,US,2020-08-28 20:39:30,43.41,-124.22,80.01,77,1,21.92
292,Kaeo,NZ,2020-08-28 20:39:30,-35.1,173.78,48.0,3,9,5.37
293,Boueni,YT,2020-08-28 20:39:30,-12.9,45.08,71.6,88,25,3.36
294,Honiara,SB,2020-08-28 20:39:30,-9.43,159.95,73.4,100,75,3.36
295,Victoria,HK,2020-08-28 20:35:34,22.29,114.16,82.0,74,97,4.0
296,Trairi,BR,2020-08-28 20:35:29,-3.28,-39.27,79.0,72,26,14.43
297,Kaohsiung,TW,2020-08-28 20:36:36,22.62,120.31,79.0,94,75,3.36
298,Shunyi,CN,2020-08-28 20:39:31,40.12,116.65,75.0,94,0,2.24
299,La Asuncion,VE,2020-08-28 20:39:31,11.03,-63.86,98.6,44,0,14.99
300,Beloha,MG,2020-08-28 20:39:31,-25.17,45.05,74.01,53,9,5.59
301,Talnakh,RU,2020-08-28 20:39:31,69.49,88.4,51.8,81,29,4.47
302,Xiantao,CN,2020-08-28 20:39:05,30.38,113.4,71.4,86,0,5.95
303,Verkhnevilyuysk,RU,2020-08-28 20:37:25,63.45,120.32,47.3,61,100,5.32
304,Opunake,NZ,2020-08-28 20:39:31,-39.46,173.86,55.99,82,77,3.0
305,Itaquyry,PY,2020-08-28 20:39:31,-24.93,-55.22,79.21,60,7,4.05
306,Coquimbo,CL,2020-08-28 20:39:32,-29.95,-71.34,57.2,62,20,10.29
